ITEM #,DESCRIPTION,QTY,MSRP UNIT,MSRP TOTAL,PALLET #,TYPE
1564002,MODERN AMBITION PANT,1,19.99,19.99,2291,Clothing
1529800,MONDETTA LEGGING PKT,1,19.99,19.99,2291,Clothing
1680027,SIERRA SS TECH SHIRT,1,19.99,19.99,2291,Clothing
1529800,MONDETTA LEGGING PKT,1,19.99,19.99,2291,Clothing
1812342,BUFFALO CARGO SHORT,1,19.99,19.99,2291,Clothing
1680027,SIERRA SS TECH SHIRT,1,19.99,19.99,2291,Clothing
1627001,MONDETTA FLARE LEGG,1,19.99,19.99,2291,Clothing
1709102,BENCH 2PK ACTIVE TEE,1,19.99,19.99,2291,Clothing
1606268,MIKE HOLMES 2PK SAFE,1,19.99,19.99,2291,Clothing
7999300,KS STATEMENT CAPRI S,1,19.99,19.99,2291,Clothing
1883002,HEAD ACTIVE PANT L,1,19.99,19.99,2291,Clothing
1680552,HEAD ACTIVE POLO L,1,19.99,19.99,2291,Clothing
9361001,BUFFALO HOODIE M,1,19.99,19.99,2291,Clothing
8262000,CALVIN KLEIN LS TOP,1,19.99,19.99,2291,Clothing
363627,PARADOX LDS TOP L,1,19.99,19.99,2291,Clothing
1667016,CLOUDVEIL JOGGER M,1,19.99,19.99,2291,Clothing
3567204,WPV 3QTR SLV TEE 2PK,1,18.99,18.99,2291,Clothing
3329711,TH KIDS 2PC SET,1,18.99,18.99,2291,Clothing
3329711,TH KIDS 2PC SET,1,18.99,18.99,2291,Clothing
1621071,EB BRIEF 10PK M,1,18.99,18.99,2291,Clothing
1621070,EB BRIEF 10PK S,1,18.99,18.99,2291,Clothing
1426212,JOE BOXER 4PK L,1,18.99,18.99,2291,Clothing
6771206,UP! CROP PANT 16,1,18.99,18.99,2291,Clothing
7789010,BENCH COMFORT SLIDE,1,18.99,18.99,2291,Clothing
1603438,TILLEY JOGGER XS BLU,1,18.99,18.99,2291,Clothing
7771032,KS ADJUSTABLE HAT 2P,1,18.99,18.99,2291,Clothing
1602888,LUCKY 3PC LOUNGE XS,1,18.99,18.99,2291,Clothing
1151000,HR TIE FRONT PANT,1,18.99,18.99,2291,Clothing
1602896,LUCKY 3PC LOUNGE S B,1,18.99,18.99,2291,Clothing
1151000,HR TIE FRONT PANT,1,18.99,18.99,2291,Clothing
1602898,LUCKY 3PC LOUNGE M G,1,18.99,18.99,2291,Clothing
3329711,TH KIDS 2PC SET,1,18.99,18.99,2291,Clothing
6771202,UP! CROP PANT 8,1,18.99,18.99,2291,Clothing
363623,PARADOX LDS BOTTOM L,1,18.99,18.99,2291,Clothing
4267003,BR V-NECK XL,1,17.99,17.99,2291,Clothing
2405984,BENCH FT SHORT XL,1,17.99,17.99,2291,Clothing
1657156,BENCH PIQUE POLO M,1,17.99,17.99,2291,Clothing
3467242,LEVIS ASSORTED BOYS,1,17.99,17.99,2291,Clothing
3900407,HAGGAR COOL 18 SHORT,1,17.99,17.99,2291,Clothing
1701752,BUFFALO FLORAL TOP L,1,16.99,16.99,2291,Clothing
1701753,BUFFALO FLORAL TOP X,1,16.99,16.99,2291,Clothing
1781013,CB SLEEVELESS TUNIC,1,16.99,16.99,2291,Clothing
5425102,32D SKORT L,1,16.99,16.99,2291,Clothing
1830102,HILARY RADLEY CAPRI,1,16.99,16.99,2291,Clothing
2227002,HEAD 2PK T-SHIRT M,1,16.99,16.99,2291,Clothing
6821000,KERSH SWEATER S-XXL,1,16.99,16.99,2291,Clothing
2300003,32D MENS TEE 3PK L,1,16.99,16.99,2291,Clothing
1628002,PARASUCO SHORT 8,1,16.99,16.99,2291,Clothing
1628002,PARASUCO SHORT 8,1,16.99,16.99,2291,Clothing
1628002,PARASUCO SHORT 8,1,16.99,16.99,2291,Clothing
1701752,BUFFALO FLORAL TOP L,1,16.99,16.99,2291,Clothing
1628002,PARASUCO SHORT 8,1,16.99,16.99,2291,Clothing
1603260,LUCKY TS 2PK M GRY,1,16.99,16.99,2291,Clothing
1606267,JACHS FLAT FRONT SHO,1,16.99,16.99,2291,Clothing
1628000,PARASUCO SHORT 4,1,16.99,16.99,2291,Clothing
1123457,KS TSHIRT 4PK L,1,15.99,15.99,2291,Clothing
8279100,NAUTICA L/S RASHGUAR,1,15.99,15.99,2291,Clothing
5549104,TUFF WOVEN SHORT XL,1,15.99,15.99,2291,Clothing
8279100,NAUTICA L/S RASHGUAR,1,15.99,15.99,2291,Clothing
8279100,NAUTICA L/S RASHGUAR,1,15.99,15.99,2291,Clothing
5549103,TUFF WOVEN SHORT L,1,15.99,15.99,2291,Clothing
5549100,TUFF WOVEN SHORT XS,1,15.99,15.99,2291,Clothing
8888222,CK GIRLS UNDERWEAR 6,1,14.99,14.99,2291,Clothing
2313105,BUFFALO CREWNECK XXX,1,14.99,14.99,2291,Clothing
